grid80,call_site,ram_x,ram_y,axis_x,axis_y,family_id,suggested_name,fam_label,cluster_n,notes
,0x8007A4AA,,,,,H_fam_0018,H_lookup_unresolved_07A4AA,H_fam_unkX_unkY_07A4AA,1,hub=map_interp_H;static_miss_indirect_d4d5;RE_not_OEM
,0x8007B9AA,,,,,H_fam_0019,H_lookup_unresolved_07B9AA,H_fam_unkX_unkY_07B9AA,1,hub=map_interp_H;static_miss_indirect_d4d5;RE_not_OEM
,0x8007B9C2,,,,,H_fam_0020,H_lookup_unresolved_07B9C2,H_fam_unkX_unkY_07B9C2,1,hub=map_interp_H;static_miss_indirect_d4d5;RE_not_OEM
,0x80091ADC,,,,,H_fam_0021,H_lookup_unresolved_091ADC,H_fam_unkX_unkY_091ADC,1,hub=map_interp_H;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA019FBEC,0x80093986,,,0xA01A4C70,,H_fam_0016,H_lookup_ax_X_Y_19FBEC,H_fam_unkX_unkY_19FBEC,1,hub=map_interp_H;static_miss_indirect_d4d5;RE_not_OEM
0xA018BBBC,0x80097CFC,,,,,H_fam_0022,H_lookup_unresolved_097CFC,H_fam_unkX_unkY_18BBBC,1,hub=map_interp_H;static_miss_indirect_d4d5;RE_not_OEM
0xA018BBBC,0x80097D06,,,,,H_fam_0023,H_lookup_unresolved_097D06,H_fam_unkX_unkY_18BBBC,1,hub=map_interp_H;static_miss_indirect_d4d5;RE_not_OEM
0xA018BBBC,0x80097D16,,,,,H_fam_0024,H_lookup_unresolved_097D16,H_fam_unkX_unkY_18BBBC,1,hub=map_interp_H;static_miss_indirect_d4d5;RE_not_OEM
0xA018BBBC,0x80097D20,,,,,H_fam_0025,H_lookup_unresolved_097D20,H_fam_unkX_unkY_18BBBC,1,hub=map_interp_H;static_miss_indirect_d4d5;RE_not_OEM
0xA0188B98,0x80097D32,,,,,H_fam_0026,H_lookup_unresolved_097D32,H_fam_unkX_unkY_188B98,1,hub=map_interp_H;static_miss_indirect_d4d5;RE_not_OEM
0xA0188B98,0x80097D3C,,,,,H_fam_0027,H_lookup_unresolved_097D3C,H_fam_unkX_unkY_188B98,1,hub=map_interp_H;static_miss_indirect_d4d5;RE_not_OEM
0xA018BBBC,0x80097D4E,,,,,H_fam_0028,H_lookup_unresolved_097D4E,H_fam_unkX_unkY_18BBBC,1,hub=map_interp_H;static_miss_indirect_d4d5;RE_not_OEM
0xA018BBBC,0x80097D58,,,,,H_fam_0029,H_lookup_unresolved_097D58,H_fam_unkX_unkY_18BBBC,1,hub=map_interp_H;static_miss_indirect_d4d5;RE_not_OEM
0xA0191B74,0x80097D7C,,,,,H_fam_0030,H_lookup_unresolved_097D7C,H_fam_unkX_unkY_191B74,1,hub=map_interp_H;static_miss_indirect_d4d5;RE_not_OEM
0xA0192B5A,0x80097D8C,,,,,H_fam_0031,H_lookup_unresolved_097D8C,H_fam_unkX_unkY_192B5A,1,hub=map_interp_H;static_miss_indirect_d4d5;RE_not_OEM
0xA0195B58,0x80097DA2,,,,,H_fam_0032,H_lookup_unresolved_097DA2,H_fam_unkX_unkY_195B58,1,hub=map_interp_H;static_miss_indirect_d4d5;RE_not_OEM
0xA0195B7E,0x80097DB0,,,,,H_fam_0033,H_lookup_unresolved_097DB0,H_fam_unkX_unkY_195B7E,1,hub=map_interp_H;static_miss_indirect_d4d5;RE_not_OEM
0xA0193B40,0x80097DC2,,,,,H_fam_0034,H_lookup_unresolved_097DC2,H_fam_unkX_unkY_193B40,1,hub=map_interp_H;static_miss_indirect_d4d5;RE_not_OEM
0xA0193B66,0x80097DD0,,,,,H_fam_0035,H_lookup_unresolved_097DD0,H_fam_unkX_unkY_193B66,1,hub=map_interp_H;static_miss_indirect_d4d5;RE_not_OEM
0xA0194B4C,0x80097DE2,,,,,H_fam_0036,H_lookup_unresolved_097DE2,H_fam_unkX_unkY_194B4C,1,hub=map_interp_H;static_miss_indirect_d4d5;RE_not_OEM
0xA0194B72,0x80097DF0,,,,,H_fam_0037,H_lookup_unresolved_097DF0,H_fam_unkX_unkY_194B72,1,hub=map_interp_H;static_miss_indirect_d4d5;RE_not_OEM
0xA018DB6C,0x80097E46,,,,,H_fam_0038,H_lookup_unresolved_097E46,H_fam_unkX_unkY_18DB6C,1,hub=map_interp_H;static_miss_indirect_d4d5;RE_not_OEM
0xA018DB6C,0x80097E50,,,,,H_fam_0039,H_lookup_unresolved_097E50,H_fam_unkX_unkY_18DB6C,1,hub=map_interp_H;static_miss_indirect_d4d5;RE_not_OEM
0xA018DB6C,0x80097E60,,,,,H_fam_0040,H_lookup_unresolved_097E60,H_fam_unkX_unkY_18DB6C,1,hub=map_interp_H;static_miss_indirect_d4d5;RE_not_OEM
0xA018DB6C,0x80097E6A,,,,,H_fam_0041,H_lookup_unresolved_097E6A,H_fam_unkX_unkY_18DB6C,1,hub=map_interp_H;static_miss_indirect_d4d5;RE_not_OEM
0xA018AB48,0x80097E7C,,,,,H_fam_0042,H_lookup_unresolved_097E7C,H_fam_unkX_unkY_18AB48,1,hub=map_interp_H;static_miss_indirect_d4d5;RE_not_OEM
0xA018AB48,0x80097E86,,,,,H_fam_0043,H_lookup_unresolved_097E86,H_fam_unkX_unkY_18AB48,1,hub=map_interp_H;static_miss_indirect_d4d5;RE_not_OEM
0xA018DB6C,0x80097E98,,,,,H_fam_0044,H_lookup_unresolved_097E98,H_fam_unkX_unkY_18DB6C,1,hub=map_interp_H;static_miss_indirect_d4d5;RE_not_OEM
0xA018DB6C,0x80097EA2,,,,,H_fam_0045,H_lookup_unresolved_097EA2,H_fam_unkX_unkY_18DB6C,1,hub=map_interp_H;static_miss_indirect_d4d5;RE_not_OEM
0xA018BBBC,0x80098006,,,,,H_fam_0046,H_lookup_unresolved_098006,H_fam_unkX_unkY_18BBBC,1,hub=map_interp_H;static_miss_indirect_d4d5;RE_not_OEM
0xA018BBBC,0x80098010,,,,,H_fam_0047,H_lookup_unresolved_098010,H_fam_unkX_unkY_18BBBC,1,hub=map_interp_H;static_miss_indirect_d4d5;RE_not_OEM
0xA018BBBC,0x80098020,,,,,H_fam_0048,H_lookup_unresolved_098020,H_fam_unkX_unkY_18BBBC,1,hub=map_interp_H;static_miss_indirect_d4d5;RE_not_OEM
,0x8009802A,,,,,H_fam_0049,H_lookup_unresolved_09802A,H_fam_unkX_unkY_09802A,1,hub=map_interp_H;static_miss_indirect_d4d5;RE_not_OEM
0xA0188B98,0x8009803E,,,,,H_fam_0050,H_lookup_unresolved_09803E,H_fam_unkX_unkY_188B98,1,hub=map_interp_H;static_miss_indirect_d4d5;RE_not_OEM
0xA0188B98,0x80098048,,,,,H_fam_0051,H_lookup_unresolved_098048,H_fam_unkX_unkY_188B98,1,hub=map_interp_H;static_miss_indirect_d4d5;RE_not_OEM
0xA018BBBC,0x8009805A,,,,,H_fam_0052,H_lookup_unresolved_09805A,H_fam_unkX_unkY_18BBBC,1,hub=map_interp_H;static_miss_indirect_d4d5;RE_not_OEM
0xA018BBBC,0x80098064,,,,,H_fam_0053,H_lookup_unresolved_098064,H_fam_unkX_unkY_18BBBC,1,hub=map_interp_H;static_miss_indirect_d4d5;RE_not_OEM
0xA0191B74,0x80098088,,,,,H_fam_0054,H_lookup_unresolved_098088,H_fam_unkX_unkY_191B74,1,hub=map_interp_H;static_miss_indirect_d4d5;RE_not_OEM
0xA0192B5A,0x80098098,,,,,H_fam_0055,H_lookup_unresolved_098098,H_fam_unkX_unkY_192B5A,1,hub=map_interp_H;static_miss_indirect_d4d5;RE_not_OEM
0xA0195B58,0x800980AE,,,,,H_fam_0056,H_lookup_unresolved_0980AE,H_fam_unkX_unkY_195B58,1,hub=map_interp_H;static_miss_indirect_d4d5;RE_not_OEM
0xA0195B7E,0x800980BC,,,,,H_fam_0057,H_lookup_unresolved_0980BC,H_fam_unkX_unkY_195B7E,1,hub=map_interp_H;static_miss_indirect_d4d5;RE_not_OEM
0xA0193B40,0x800980CE,,,,,H_fam_0058,H_lookup_unresolved_0980CE,H_fam_unkX_unkY_193B40,1,hub=map_interp_H;static_miss_indirect_d4d5;RE_not_OEM
0xA0193B66,0x800980DC,,,,,H_fam_0059,H_lookup_unresolved_0980DC,H_fam_unkX_unkY_193B66,1,hub=map_interp_H;static_miss_indirect_d4d5;RE_not_OEM
0xA0194B4C,0x800980EE,,,,,H_fam_0060,H_lookup_unresolved_0980EE,H_fam_unkX_unkY_194B4C,1,hub=map_interp_H;static_miss_indirect_d4d5;RE_not_OEM
0xA0194B72,0x800980FC,,,,,H_fam_0061,H_lookup_unresolved_0980FC,H_fam_unkX_unkY_194B72,1,hub=map_interp_H;static_miss_indirect_d4d5;RE_not_OEM
0xA018DB6C,0x80098152,,,,,H_fam_0062,H_lookup_unresolved_098152,H_fam_unkX_unkY_18DB6C,1,hub=map_interp_H;static_miss_indirect_d4d5;RE_not_OEM
0xA018DB6C,0x8009815C,,,,,H_fam_0063,H_lookup_unresolved_09815C,H_fam_unkX_unkY_18DB6C,1,hub=map_interp_H;static_miss_indirect_d4d5;RE_not_OEM
0xA018DB6C,0x8009816C,,,,,H_fam_0064,H_lookup_unresolved_09816C,H_fam_unkX_unkY_18DB6C,1,hub=map_interp_H;static_miss_indirect_d4d5;RE_not_OEM
,0x80098176,,,,,H_fam_0065,H_lookup_unresolved_098176,H_fam_unkX_unkY_098176,1,hub=map_interp_H;static_miss_indirect_d4d5;RE_not_OEM
0xA018AB48,0x8009818A,,,,,H_fam_0066,H_lookup_unresolved_09818A,H_fam_unkX_unkY_18AB48,1,hub=map_interp_H;static_miss_indirect_d4d5;RE_not_OEM
